doc1,doc2,relations,detail
112,160,2,"['P361', 'P527']"
112,162,2,"['P361', 'P527']"
112,173,2,"['P361', 'P527']"
112,174,2,"['P361', 'P527']"
112,175,2,"['P361', 'P527']"
112,180,2,"['P361', 'P527']"
112,191,2,"['P361', 'P527']"
112,193,2,"['P361', 'P527']"
112,203,2,"['P361', 'P527']"
112,204,2,"['P361', 'P527']"
112,213,2,"['P361', 'P527']"
112,221,2,"['P361', 'P527']"
112,223,2,"['P361', 'P527']"
112,233,2,"['P361', 'P527']"
112,245,3,"['P361', 'P527', 'P361']"
112,246,2,"['P361', 'P527']"
112,251,2,"['P361', 'P527']"
112,252,2,"['P361', 'P527']"
112,255,2,"['P361', 'P527']"
112,258,2,"['P361', 'P527']"
112,260,2,"['P361', 'P527']"
112,262,2,"['P361', 'P527']"
112,270,2,"['P361', 'P527']"
112,273,2,"['P361', 'P527']"
112,275,2,"['P361', 'P527']"
112,287,2,"['P361', 'P527']"
112,291,2,"['P361', 'P527']"
112,295,2,"['P361', 'P527']"
112,298,2,"['P361', 'P527']"
112,134,1,['P2389']
112,20,1,['P361']
112,115,1,['P361']
112,207,1,['P361']
112,269,1,['P361']
112,285,1,['P361']
113,37,1,['P460']
113,119,1,['P460']
113,123,1,['P460']
113,139,1,['P460']
113,233,1,['P460']
113,288,1,['P460']
113,84,2,"['P1889', 'P1382']"
113,90,2,"['P1889', 'P1382']"
113,98,2,"['P1889', 'P1382']"
114,84,2,"['P1889', 'P1382']"
114,90,3,"['P1889', 'P1382', 'P186']"
114,98,2,"['P1889', 'P1382']"
114,39,1,['P186']
114,96,1,['P186']
114,152,1,['P186']
114,266,1,['P186']
114,126,1,['P279']
114,170,1,['P279']
114,25,1,['P2922']
114,36,1,['P2922']
114,192,1,['P2922']
114,210,1,['P2922']
114,8,1,['P279']
114,37,1,['P279']
114,99,1,['P279']
114,103,1,['P279']
114,106,1,['P279']
114,108,1,['P279']
114,109,1,['P279']
114,123,1,['P279']
114,169,1,['P279']
114,175,1,['P279']
114,181,1,['P279']
114,193,1,['P279']
114,207,1,['P279']
114,214,1,['P279']
114,244,1,['P279']
114,254,1,['P279']
114,262,1,['P279']
114,288,1,['P279']
115,16,2,"['P2670', 'P361']"
115,27,2,"['P2670', 'P361']"
115,43,2,"['P2670', 'P361']"
115,92,3,"['P2670', 'P361', 'P361']"
115,94,2,"['P2670', 'P361']"
115,97,2,"['P2670', 'P361']"
115,98,5,"['P2670', 'P361', 'P1889', 'P1382', 'P361']"
115,108,3,"['P2670', 'P361', 'P361']"
115,111,3,"['P2670', 'P361', 'P361']"
115,119,2,"['P2670', 'P361']"
115,123,2,"['P2670', 'P361']"
115,131,2,"['P2670', 'P361']"
115,191,2,"['P2670', 'P361']"
115,209,2,"['P2670', 'P361']"
115,240,2,"['P2670', 'P361']"
115,245,2,"['P2670', 'P361']"
115,6,1,['P361']
115,13,1,['P361']
115,15,1,['P361']
115,19,1,['P361']
115,41,1,['P361']
115,46,1,['P361']
115,55,1,['P361']
115,56,1,['P361']
115,89,1,['P361']
115,90,3,"['P361', 'P1889', 'P1382']"
115,91,1,['P361']
115,95,1,['P361']
115,112,1,['P361']
115,139,1,['P361']
115,145,1,['P361']
115,172,1,['P361']
115,177,1,['P361']
115,196,1,['P361']
115,214,1,['P361']
115,219,1,['P361']
115,222,1,['P361']
115,280,1,['P361']
115,281,1,['P361']
115,296,1,['P361']
115,84,2,"['P1889', 'P1382']"
116,6,2,"['P527', 'P361']"
116,13,2,"['P527', 'P361']"
116,15,5,"['P527', 'P361', 'P461', 'P461', 'P361']"
116,19,2,"['P527', 'P361']"
116,41,2,"['P527', 'P361']"
116,46,2,"['P527', 'P361']"
116,55,3,"['P527', 'P361', 'P425']"
116,56,2,"['P527', 'P361']"
116,89,2,"['P527', 'P361']"
116,90,5,"['P527', 'P361', 'P461', 'P461', 'P361']"
116,91,2,"['P527', 'P361']"
116,92,2,"['P527', 'P361']"
116,95,2,"['P527', 'P361']"
116,98,3,"['P527', 'P461', 'P361']"
116,108,2,"['P527', 'P361']"
116,111,4,"['P527', 'P361', 'P461', 'P361']"
116,112,2,"['P527', 'P361']"
116,139,2,"['P527', 'P361']"
116,145,2,"['P527', 'P361']"
116,172,2,"['P527', 'P361']"
116,177,2,"['P527', 'P361']"
116,196,2,"['P527', 'P361']"
116,214,2,"['P527', 'P361']"
116,219,2,"['P527', 'P361']"
116,222,2,"['P527', 'P361']"
116,280,2,"['P527', 'P361']"
116,281,2,"['P527', 'P361']"
116,296,2,"['P527', 'P361']"
116,12,1,['P361']
116,87,1,['P361']
116,117,2,"['P361', 'P461']"
116,174,2,"['P361', 'P461']"
116,180,2,"['P361', 'P461']"
116,97,2,"['P461', 'P461']"
116,116,2,"['P461', 'P461']"
116,132,1,['P461']
116,233,1,['P461']
116,247,1,['P461']
116,277,2,"['P461', 'P279']"
116,103,1,['P425']
116,58,1,['P279']
116,62,1,['P279']
116,124,1,['P279']
116,129,1,['P279']
116,151,1,['P279']
116,153,1,['P279']
116,169,1,['P279']
116,292,1,['P279']
116,93,1,['P366']
116,107,1,['P366']
117,46,3,"['P279', 'P527', 'P361']"
117,191,1,['P279']
117,8,2,"['P460', 'P279']"
117,37,2,"['P460', 'P279']"
117,99,2,"['P460', 'P279']"
117,103,8,"['P460', 'P1382', 'P3095', 'P279', 'P361', 'P361', 'P425', 'P425']"
117,106,3,"['P460', 'P279', 'P361']"
117,108,4,"['P460', 'P527', 'P279', 'P361']"
117,109,2,"['P460', 'P279']"
117,123,2,"['P460', 'P279']"
117,169,4,"['P460', 'P279', 'P279', 'P279']"
117,175,2,"['P460', 'P279']"
117,181,3,"['P460', 'P279', 'P279']"
117,193,2,"['P460', 'P279']"
117,207,2,"['P460', 'P279']"
117,214,4,"['P460', 'P527', 'P279', 'P361']"
117,244,2,"['P460', 'P279']"
117,254,2,"['P460', 'P279']"
117,262,6,"['P460', 'P1382', 'P3095', 'P279', 'P361', 'P425']"
117,288,2,"['P460', 'P279']"
117,93,5,"['P1382', 'P3095', 'P361', 'P425', 'P366']"
117,177,6,"['P1382', 'P527', 'P3095', 'P361', 'P361', 'P425']"
117,245,3,"['P1382', 'P3095', 'P425']"
117,286,3,"['P1382', 'P3095', 'P425']"
117,6,2,"['P527', 'P361']"
117,13,2,"['P527', 'P361']"
117,15,5,"['P527', 'P361', 'P461', 'P361', 'P361']"
117,19,2,"['P527', 'P361']"
117,41,2,"['P527', 'P361']"
117,55,3,"['P527', 'P361', 'P425']"
117,56,3,"['P527', 'P361', 'P527']"
117,89,2,"['P527', 'P361']"
117,90,5,"['P527', 'P361', 'P461', 'P361', 'P361']"
117,91,3,"['P527', 'P361', 'P361']"
117,92,2,"['P527', 'P361']"
117,95,2,"['P527', 'P361']"
117,98,2,"['P527', 'P361']"
117,111,6,"['P527', 'P361', 'P461', 'P361', 'P361', 'P361']"
117,112,2,"['P527', 'P361']"
117,139,2,"['P527', 'P361']"
117,145,3,"['P527', 'P361', 'P361']"
117,172,2,"['P527', 'P361']"
117,196,2,"['P527', 'P361']"
117,219,2,"['P527', 'P361']"
117,222,2,"['P527', 'P361']"
117,280,2,"['P527', 'P361']"
117,281,2,"['P527', 'P361']"
117,296,2,"['P527', 'P361']"
117,179,1,['P279']
117,12,1,['P361']
117,87,1,['P361']
117,117,3,"['P361', 'P361', 'P361']"
117,174,2,"['P361', 'P461']"
117,180,2,"['P361', 'P461']"
117,97,1,['P461']
117,116,3,"['P461', 'P361', 'P361']"
117,58,2,"['P279', 'P279']"
117,62,2,"['P279', 'P279']"
117,124,2,"['P279', 'P279']"
117,129,2,"['P279', 'P279']"
117,151,2,"['P279', 'P279']"
117,153,2,"['P279', 'P279']"
117,277,2,"['P279', 'P279']"
117,292,2,"['P279', 'P279']"
117,1,1,['P361']
117,49,1,['P361']
117,260,1,['P361']
117,14,1,['P361']
117,110,1,['P361']
117,240,1,['P361']
117,241,2,"['P361', 'P361']"
117,247,1,['P361']
117,269,1,['P361']
117,24,1,['P527']
117,52,1,['P527']
117,104,1,['P527']
117,258,1,['P527']
117,287,1,['P527']
117,88,1,['P279']
117,107,1,['P366']
118,46,1,['P279']
118,191,1,['P279']
118,8,1,['P460']
118,37,1,['P460']
118,99,1,['P460']
118,103,1,['P460']
118,106,1,['P460']
118,108,2,"['P460', 'P279']"
118,109,1,['P460']
118,123,1,['P460']
118,169,1,['P460']
118,175,1,['P460']
118,181,1,['P460']
118,193,1,['P460']
118,207,1,['P460']
118,214,1,['P460']
118,244,1,['P460']
118,254,1,['P460']
118,262,1,['P460']
118,288,1,['P460']
118,17,1,['P279']
118,56,1,['P279']
118,69,1,['P279']
118,165,1,['P279']
118,168,1,['P279']
118,184,1,['P279']
118,185,1,['P279']
118,187,1,['P279']
118,188,1,['P279']
118,203,1,['P279']
118,205,1,['P279']
118,226,1,['P279']
118,228,1,['P279']
118,229,1,['P279']
118,230,1,['P279']
118,231,1,['P279']
118,232,1,['P279']
118,233,1,['P279']
118,236,1,['P279']
118,237,1,['P279']
118,238,1,['P279']
118,280,1,['P279']
118,281,1,['P279']
118,295,1,['P279']
119,46,5,"['P279', 'P527', 'P1269', 'P361', 'P361']"
119,191,4,"['P279', 'P1269', 'P2670', 'P361']"
119,8,2,"['P460', 'P31']"
119,37,3,"['P460', 'P460', 'P31']"
119,99,2,"['P460', 'P31']"
119,103,2,"['P460', 'P31']"
119,106,2,"['P460', 'P31']"
119,108,9,"['P460', 'P527', 'P361', 'P2670', 'P361', 'P31', 'P361', 'P361', 'P2670']"
119,109,2,"['P460', 'P31']"
119,123,5,"['P460', 'P180', 'P2670', 'P31', 'P361']"
119,169,2,"['P460', 'P31']"
119,175,2,"['P460', 'P31']"
119,181,2,"['P460', 'P31']"
119,193,2,"['P460', 'P31']"
119,207,5,"['P460', 'P361', 'P31', 'P2670', 'P31']"
119,214,5,"['P460', 'P527', 'P361', 'P31', 'P361']"
119,244,2,"['P460', 'P31']"
119,254,2,"['P460', 'P31']"
119,262,2,"['P460', 'P31']"
119,288,2,"['P460', 'P31']"
119,240,4,"['P180', 'P2670', 'P460', 'P361']"
119,277,1,['P180']
119,278,1,['P180']
119,6,3,"['P527', 'P361', 'P361']"
119,13,3,"['P527', 'P361', 'P361']"
119,15,3,"['P527', 'P361', 'P361']"
119,19,3,"['P527', 'P361', 'P361']"
119,41,3,"['P527', 'P361', 'P361']"
119,55,4,"['P527', 'P361', 'P361', 'P31']"
119,56,3,"['P527', 'P361', 'P361']"
119,89,5,"['P527', 'P361', 'P361', 'P361', 'P2670']"
119,90,4,"['P527', 'P361', 'P460', 'P361']"
119,91,5,"['P527', 'P361', 'P361', 'P361', 'P2670']"
119,92,8,"['P527', 'P2670', 'P361', 'P1552', 'P361', 'P361', 'P31', 'P361']"
119,95,3,"['P527', 'P361', 'P361']"
119,98,7,"['P527', 'P361', 'P2670', 'P361', 'P361', 'P361', 'P2670']"
119,111,9,"['P527', 'P361', 'P2670', 'P361', 'P460', 'P361', 'P361', 'P2670', 'P31']"
119,112,3,"['P527', 'P361', 'P361']"
119,139,3,"['P527', 'P361', 'P361']"
119,145,3,"['P527', 'P361', 'P361']"
119,172,3,"['P527', 'P361', 'P361']"
119,177,5,"['P527', 'P361', 'P361', 'P361', 'P2670']"
119,196,3,"['P527', 'P361', 'P361']"
119,219,3,"['P527', 'P361', 'P361']"
119,222,3,"['P527', 'P361', 'P361']"
119,280,3,"['P527', 'P361', 'P361']"
119,281,3,"['P527', 'P361', 'P361']"
119,296,4,"['P527', 'P361', 'P361', 'P31']"
119,93,1,['P279']
119,107,2,"['P279', 'P460']"
119,20,2,"['P361', 'P2670']"
119,40,2,"['P361', 'P2670']"
119,115,2,"['P361', 'P2670']"
119,119,4,"['P361', 'P2670', 'P361', 'P2670']"
119,245,4,"['P361', 'P2670', 'P361', 'P2670']"
119,269,2,"['P361', 'P2670']"
119,285,2,"['P361', 'P2670']"
119,16,2,"['P2670', 'P361']"
119,27,2,"['P2670', 'P361']"
119,43,2,"['P2670', 'P361']"
119,94,2,"['P2670', 'P361']"
119,97,2,"['P2670', 'P361']"
119,131,2,"['P2670', 'P361']"
119,209,2,"['P2670', 'P361']"
119,14,1,['P460']
119,49,1,['P460']
119,87,1,['P460']
119,113,1,['P460']
119,297,1,['P460']
119,110,1,['P31']
119,174,1,['P31']
119,180,1,['P31']
119,247,1,['P31']
119,251,1,['P31']
119,256,1,['P31']
119,295,1,['P31']
120,58,1,['P1552']
120,123,1,['P1552']
120,245,1,['P1552']
120,111,1,['P279']
120,160,1,['P279']
120,175,1,['P279']
120,182,1,['P279']
120,211,1,['P279']
120,246,1,['P279']
120,275,1,['P279']
120,287,1,['P279']
121,46,1,['P279']
121,191,1,['P279']
121,8,1,['P460']
121,37,1,['P460']
121,99,1,['P460']
121,103,2,"['P460', 'P1382']"
121,106,1,['P460']
121,108,1,['P460']
121,109,1,['P460']
121,123,2,"['P460', 'P180']"
121,169,1,['P460']
121,175,2,"['P460', 'P279']"
121,181,1,['P460']
121,193,1,['P460']
121,207,1,['P460']
121,214,1,['P460']
121,244,1,['P460']
121,254,1,['P460']
121,262,2,"['P460', 'P1382']"
121,288,1,['P460']
121,93,1,['P1382']
121,177,1,['P1382']
121,245,1,['P1382']
121,286,1,['P1382']
121,240,1,['P180']
121,277,1,['P180']
121,278,1,['P180']
121,55,1,['P31']
121,110,1,['P31']
121,111,2,"['P31', 'P279']"
121,174,1,['P31']
121,180,1,['P31']
121,247,1,['P31']
121,251,1,['P31']
121,296,1,['P31']
121,160,1,['P279']
121,182,1,['P279']
121,211,1,['P279']
121,246,1,['P279']
121,275,1,['P279']
121,287,1,['P279']
122,46,1,['P279']
122,191,1,['P279']
122,8,1,['P460']
122,37,1,['P460']
122,99,1,['P460']
122,103,1,['P460']
122,106,1,['P460']
122,108,1,['P460']
122,109,1,['P460']
122,123,1,['P460']
122,169,1,['P460']
122,175,1,['P460']
122,181,1,['P460']
122,193,1,['P460']
122,207,1,['P460']
122,214,1,['P460']
122,244,1,['P460']
122,254,1,['P460']
122,262,1,['P460']
122,288,1,['P460']
123,46,7,"['P279', 'P527', 'P460', 'P279', 'P1269', 'P361', 'P31']"
123,191,3,"['P279', 'P279', 'P1269']"
123,8,1,['P460']
123,37,5,"['P460', 'P460', 'P460', 'P460', 'P180']"
123,99,3,"['P460', 'P460', 'P180']"
123,103,4,"['P460', 'P1382', 'P460', 'P460']"
123,106,2,"['P460', 'P460']"
123,108,6,"['P460', 'P527', 'P460', 'P361', 'P361', 'P2670']"
123,109,2,"['P460', 'P460']"
123,123,6,"['P460', 'P460', 'P527', 'P279', 'P527', 'P279']"
123,169,3,"['P460', 'P460', 'P180']"
123,175,2,"['P460', 'P279']"
123,181,2,"['P460', 'P460']"
123,193,3,"['P460', 'P460', 'P180']"
123,207,10,"['P460', 'P460', 'P460', 'P361', 'P527', 'P279', 'P361', 'P180', 'P2670', 'P279']"
123,214,3,"['P460', 'P527', 'P361']"
123,244,1,['P460']
123,254,4,"['P460', 'P460', 'P279', 'P361']"
123,262,7,"['P460', 'P1382', 'P460', 'P460', 'P527', 'P180', 'P279']"
123,288,2,"['P460', 'P460']"
123,93,5,"['P1382', 'P279', 'P460', 'P460', 'P1552']"
123,177,10,"['P1382', 'P527', 'P460', 'P361', 'P527', 'P279', 'P361', 'P2670', 'P527', 'P279']"
123,245,8,"['P1382', 'P460', 'P460', 'P361', 'P279', 'P180', 'P2670', 'P527']"
123,286,3,"['P1382', 'P460', 'P460']"
123,6,3,"['P527', 'P460', 'P361']"
123,13,2,"['P527', 'P361']"
123,15,3,"['P527', 'P180', 'P361']"
123,19,2,"['P527', 'P361']"
123,41,4,"['P527', 'P460', 'P460', 'P361']"
123,55,3,"['P527', 'P460', 'P361']"
123,56,3,"['P527', 'P460', 'P361']"
123,89,5,"['P527', 'P460', 'P361', 'P361', 'P2670']"
123,90,3,"['P527', 'P460', 'P361']"
123,91,5,"['P527', 'P361', 'P180', 'P361', 'P2670']"
123,92,4,"['P527', 'P1552', 'P361', 'P361']"
123,95,2,"['P527', 'P361']"
123,98,4,"['P527', 'P361', 'P361', 'P2670']"
123,111,8,"['P527', 'P361', 'P460', 'P279', 'P361', 'P361', 'P2670', 'P279']"
123,112,2,"['P527', 'P361']"
123,139,3,"['P527', 'P460', 'P361']"
123,145,3,"['P527', 'P460', 'P361']"
123,172,2,"['P527', 'P361']"
123,196,2,"['P527', 'P361']"
123,219,2,"['P527', 'P361']"
123,222,3,"['P527', 'P460', 'P361']"
123,280,2,"['P527', 'P361']"
123,281,2,"['P527', 'P361']"
123,296,5,"['P527', 'P460', 'P279', 'P361', 'P361']"
123,107,4,"['P279', 'P460', 'P279', 'P361']"
123,0,1,['P460']
123,1,4,"['P460', 'P279', 'P361', 'P180']"
123,5,1,['P460']
123,14,2,"['P460', 'P460']"
123,24,1,['P460']
123,26,3,"['P460', 'P279', 'P527']"
123,34,1,['P460']
123,39,1,['P460']
123,43,1,['P460']
123,48,2,"['P460', 'P180']"
123,57,1,['P460']
123,58,4,"['P460', 'P279', 'P361', 'P180']"
123,61,2,"['P460', 'P180']"
123,62,1,['P460']
123,74,1,['P460']
123,78,1,['P460']
123,86,2,"['P460', 'P180']"
123,96,2,"['P460', 'P460']"
123,100,4,"['P460', 'P460', 'P279', 'P361']"
123,117,2,"['P460', 'P279']"
123,118,1,['P460']
123,119,6,"['P460', 'P460', 'P361', 'P180', 'P2670', 'P31']"
123,121,2,"['P460', 'P180']"
123,122,1,['P460']
123,124,1,['P460']
123,125,1,['P460']
123,127,2,"['P460', 'P180']"
123,132,3,"['P460', 'P460', 'P279']"
123,134,4,"['P460', 'P279', 'P180', 'P527']"
123,144,1,['P460']
123,147,1,['P460']
123,148,1,['P460']
123,152,1,['P460']
123,154,1,['P460']
123,155,1,['P460']
123,157,1,['P460']
123,170,2,"['P460', 'P460']"
123,178,1,['P460']
123,198,2,"['P460', 'P1552']"
123,206,1,['P460']
123,209,1,['P460']
123,212,1,['P460']
123,213,1,['P460']
123,221,2,"['P460', 'P180']"
123,224,1,['P460']
123,233,1,['P460']
123,241,1,['P460']
123,249,2,"['P460', 'P180']"
123,253,4,"['P460', 'P527', 'P180', 'P279']"
123,259,2,"['P460', 'P180']"
123,264,1,['P460']
123,266,1,['P460']
123,267,1,['P460']
123,269,3,"['P460', 'P361', 'P2670']"
123,273,1,['P460']
123,283,1,['P460']
123,289,1,['P460']
123,294,1,['P460']
123,20,2,"['P361', 'P2670']"
123,40,2,"['P361', 'P2670']"
123,115,2,"['P361', 'P2670']"
123,285,2,"['P361', 'P2670']"
123,292,2,"['P527', 'P279']"
123,49,2,"['P460', 'P1552']"
123,87,1,['P460']
123,113,1,['P460']
123,240,1,['P460']
123,297,1,['P460']
123,151,2,"['P279', 'P527']"
123,158,2,"['P279', 'P527']"
123,268,2,"['P279', 'P527']"
123,293,3,"['P279', 'P180', 'P527']"
123,16,2,"['P279', 'P361']"
123,217,2,"['P279', 'P361']"
123,247,2,"['P279', 'P361']"
123,258,2,"['P279', 'P361']"
123,182,2,"['P180', 'P279']"
123,250,1,['P180']
123,260,1,['P180']
123,2,1,['P1552']
123,104,1,['P1552']
123,120,1,['P1552']
123,94,1,['P279']
123,114,1,['P279']
123,160,1,['P279']
123,211,1,['P279']
123,246,1,['P279']
123,275,1,['P279']
123,287,1,['P279']
123,126,1,['P279']
124,46,1,['P279']
124,191,1,['P279']
124,8,1,['P460']
124,37,1,['P460']
124,99,2,"['P460', 'P279']"
124,103,2,"['P460', 'P279']"
124,106,1,['P460']
124,108,1,['P460']
124,109,1,['P460']
124,123,1,['P460']
124,169,1,['P460']
124,175,3,"['P460', 'P279', 'P279']"
124,181,1,['P460']
124,193,2,"['P460', 'P279']"
124,207,2,"['P460', 'P279']"
124,214,1,['P460']
124,244,1,['P460']
124,254,1,['P460']
124,262,2,"['P460', 'P279']"
124,288,1,['P460']
124,111,4,"['P279', 'P279', 'P279', 'P279']"
124,160,2,"['P279', 'P279']"
124,182,1,['P279']
124,211,1,['P279']
124,246,1,['P279']
124,275,1,['P279']
124,287,2,"['P279', 'P279']"
124,14,1,['P279']
124,15,1,['P279']
124,90,2,"['P279', 'P279']"
124,91,1,['P279']
124,93,1,['P279']
124,110,1,['P279']
124,116,2,"['P279', 'P279']"
124,117,3,"['P279', 'P279', 'P279']"
124,240,1,['P279']
124,241,3,"['P279', 'P279', 'P279']"
124,247,1,['P279']
124,269,1,['P279']
124,34,1,['P279']
124,41,1,['P279']
124,48,1,['P279']
124,61,1,['P279']
124,176,1,['P279']
124,260,1,['P279']
124,286,1,['P279']
124,289,1,['P279']
124,294,1,['P279']
125,46,3,"['P279', 'P527', 'P361']"
125,191,1,['P279']
125,8,1,['P460']
125,37,1,['P460']
125,99,1,['P460']
125,103,1,['P460']
125,106,1,['P460']
125,108,3,"['P460', 'P527', 'P361']"
125,109,1,['P460']
125,123,1,['P460']
125,169,1,['P460']
125,175,1,['P460']
125,181,1,['P460']
125,193,1,['P460']
125,207,1,['P460']
125,214,3,"['P460', 'P527', 'P361']"
125,244,1,['P460']
125,254,1,['P460']
125,262,1,['P460']
125,288,1,['P460']
125,6,2,"['P527', 'P361']"
125,13,2,"['P527', 'P361']"
125,15,3,"['P527', 'P31', 'P361']"
125,19,2,"['P527', 'P361']"
125,41,2,"['P527', 'P361']"
125,55,2,"['P527', 'P361']"
125,56,2,"['P527', 'P361']"
125,89,2,"['P527', 'P361']"
125,90,3,"['P527', 'P31', 'P361']"
125,91,2,"['P527', 'P361']"
125,92,2,"['P527', 'P361']"
125,95,3,"['P527', 'P31', 'P361']"
125,98,2,"['P527', 'P361']"
125,111,2,"['P527', 'P361']"
125,112,2,"['P527', 'P361']"
125,139,2,"['P527', 'P361']"
125,145,2,"['P527', 'P361']"
125,172,2,"['P527', 'P361']"
125,177,2,"['P527', 'P361']"
125,196,3,"['P527', 'P31', 'P361']"
125,219,2,"['P527', 'P361']"
125,222,2,"['P527', 'P361']"
125,280,2,"['P527', 'P361']"
125,281,2,"['P527', 'P361']"
125,296,2,"['P527', 'P361']"
125,93,1,['P279']
125,107,1,['P279']
125,250,1,['P31']
126,8,1,['P279']
126,37,1,['P279']
126,99,1,['P279']
126,103,1,['P279']
126,106,2,"['P279', 'P279']"
126,108,1,['P279']
126,109,1,['P279']
126,123,1,['P279']
126,169,1,['P279']
126,175,1,['P279']
126,181,1,['P279']
126,193,1,['P279']
126,207,1,['P279']
126,214,1,['P279']
126,244,1,['P279']
126,254,1,['P279']
126,262,1,['P279']
126,288,1,['P279']
126,88,1,['P279']
126,90,1,['P279']
126,93,1,['P279']
126,94,1,['P279']
126,114,1,['P279']
127,46,3,"['P279', 'P527', 'P361']"
127,191,1,['P279']
127,8,1,['P460']
127,37,1,['P460']
127,99,1,['P460']
127,103,2,"['P460', 'P1382']"
127,106,1,['P460']
127,108,3,"['P460', 'P527', 'P361']"
127,109,1,['P460']
127,123,2,"['P460', 'P180']"
127,169,1,['P460']
127,175,1,['P460']
127,181,1,['P460']
127,193,1,['P460']
127,207,1,['P460']
127,214,3,"['P460', 'P527', 'P361']"
127,244,1,['P460']
127,254,1,['P460']
127,262,2,"['P460', 'P1382']"
127,288,1,['P460']
127,93,2,"['P1382', 'P279']"
127,177,3,"['P1382', 'P527', 'P361']"
127,245,1,['P1382']
127,286,1,['P1382']
127,55,4,"['P279', 'P527', 'P361', 'P31']"
127,87,1,['P279']
127,247,2,"['P279', 'P31']"
127,240,1,['P180']
127,277,1,['P180']
127,278,1,['P180']
127,6,2,"['P527', 'P361']"
127,13,2,"['P527', 'P361']"
127,15,3,"['P527', 'P31', 'P361']"
127,19,2,"['P527', 'P361']"
127,41,2,"['P527', 'P361']"
127,56,2,"['P527', 'P361']"
127,89,2,"['P527', 'P361']"
127,90,3,"['P527', 'P31', 'P361']"
127,91,2,"['P527', 'P361']"
127,92,2,"['P527', 'P361']"
127,95,3,"['P527', 'P31', 'P361']"
127,98,2,"['P527', 'P361']"
127,111,3,"['P527', 'P361', 'P31']"
127,112,2,"['P527', 'P361']"
127,139,2,"['P527', 'P361']"
127,145,2,"['P527', 'P361']"
127,172,2,"['P527', 'P361']"
127,196,3,"['P527', 'P31', 'P361']"
127,219,2,"['P527', 'P361']"
127,222,2,"['P527', 'P361']"
127,280,2,"['P527', 'P361']"
127,281,2,"['P527', 'P361']"
127,296,3,"['P527', 'P361', 'P31']"
127,107,1,['P279']
127,250,1,['P31']
127,110,1,['P31']
127,174,1,['P31']
127,180,1,['P31']
127,251,1,['P31']
129,14,1,['P279']
129,15,1,['P279']
129,90,2,"['P279', 'P279']"
129,91,1,['P279']
129,93,1,['P279']
129,103,1,['P279']
129,110,1,['P279']
129,111,3,"['P279', 'P279', 'P279']"
129,116,2,"['P279', 'P279']"
129,117,3,"['P279', 'P279', 'P279']"
129,240,1,['P279']
129,241,3,"['P279', 'P279', 'P279']"
129,247,1,['P279']
129,269,1,['P279']
129,34,1,['P279']
129,41,1,['P279']
129,48,1,['P279']
129,61,1,['P279']
129,99,1,['P279']
129,160,1,['P279']
129,175,1,['P279']
129,176,1,['P279']
129,193,1,['P279']
129,207,1,['P279']
129,260,1,['P279']
129,262,1,['P279']
129,286,1,['P279']
129,287,1,['P279']
129,289,1,['P279']
129,294,1,['P279']
131,93,1,['P279']
131,107,1,['P279']
131,20,2,"['P361', 'P2670']"
131,40,2,"['P361', 'P2670']"
131,89,2,"['P361', 'P2670']"
131,91,2,"['P361', 'P2670']"
131,98,2,"['P361', 'P2670']"
131,108,2,"['P361', 'P2670']"
131,111,2,"['P361', 'P2670']"
131,115,2,"['P361', 'P2670']"
131,119,2,"['P361', 'P2670']"
131,177,2,"['P361', 'P2670']"
131,207,2,"['P361', 'P2670']"
131,245,2,"['P361', 'P2670']"
131,269,2,"['P361', 'P2670']"
131,285,2,"['P361', 'P2670']"
132,46,3,"['P279', 'P527', 'P361']"
132,191,1,['P279']
132,8,2,"['P460', 'P279']"
132,37,2,"['P460', 'P279']"
132,99,2,"['P460', 'P279']"
132,103,2,"['P460', 'P279']"
132,106,2,"['P460', 'P279']"
132,108,4,"['P460', 'P527', 'P279', 'P361']"
132,109,2,"['P460', 'P279']"
132,123,2,"['P460', 'P279']"
132,169,2,"['P460', 'P279']"
132,175,2,"['P460', 'P279']"
132,181,2,"['P460', 'P279']"
132,193,2,"['P460', 'P279']"
132,207,2,"['P460', 'P279']"
132,214,4,"['P460', 'P527', 'P279', 'P361']"
132,244,2,"['P460', 'P279']"
132,254,2,"['P460', 'P279']"
132,262,2,"['P460', 'P279']"
132,288,2,"['P460', 'P279']"
132,6,2,"['P527', 'P361']"
132,13,2,"['P527', 'P361']"
132,15,3,"['P527', 'P461', 'P361']"
132,19,2,"['P527', 'P361']"
132,41,2,"['P527', 'P361']"
132,55,2,"['P527', 'P361']"
132,56,2,"['P527', 'P361']"
132,89,2,"['P527', 'P361']"
132,90,3,"['P527', 'P461', 'P361']"
132,91,2,"['P527', 'P361']"
132,92,2,"['P527', 'P361']"
132,95,2,"['P527', 'P361']"
132,98,2,"['P527', 'P361']"
132,111,3,"['P527', 'P461', 'P361']"
132,112,2,"['P527', 'P361']"
132,139,2,"['P527', 'P361']"
132,145,2,"['P527', 'P361']"
132,172,2,"['P527', 'P361']"
132,177,2,"['P527', 'P361']"
132,196,2,"['P527', 'P361']"
132,219,2,"['P527', 'P361']"
132,222,2,"['P527', 'P361']"
132,280,2,"['P527', 'P361']"
132,281,2,"['P527', 'P361']"
132,296,2,"['P527', 'P361']"
132,93,1,['P279']
132,107,1,['P279']
132,97,1,['P461']
132,116,1,['P461']
132,174,1,['P461']
132,180,1,['P461']
132,134,1,['P2389']
